user_id,item_id,label
12,4,1
12,8,1
12,10,0
12,14,1
12,16,1
12,20,1
12,22,1
12,28,0
12,33,1
12,40,1
13,8,1
13,11,1
13,15,1
13,17,0
13,21,1
13,25,1
13,30,1
13,36,1
13,44,0
13,50,1
15,10,1
15,15,1
15,18,1
15,22,1
15,26,0
15,29,1
15,31,1
15,38,1
15,42,1
15,49,0
17,11,1
17,16,1
17,19,1
17,23,1
17,27,0
17,32,1
17,35,1
17,41,1
17,47,0
17,63,1
19,14,1
19,17,1
19,20,1
19,24,1
19,34,0
19,37,1
19,39,1
19,43,1
19,46,0
19,55,1
20,15,1
20,18,1
20,25,1
20,28,1
20,33,0
20,45,1
20,48,1
20,52,1
20,58,0
20,60,1
22,16,1
22,19,1
22,26,1
22,31,1
22,36,0
22,44,1
22,51,1
22,56,1
22,59,0
22,63,1
23,17,1
23,20,1
23,27,1
23,35,1
23,38,0
23,42,1
23,50,1
23,53,1
23,57,0
23,62,1
27,18,1
27,21,1
27,29,1
27,32,1
27,40,0
27,41,1
27,47,1
27,54,1
27,61,0
27,63,1
28,19,1
28,22,1
28,30,1
28,34,1
28,39,0
28,43,1
28,46,1
28,52,1
28,55,0
28,60,1
